32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),384PI804XS19GUW4K88P5M3WMBM0SS,Submitted,368,Hope Recovery Center VA Medical Center; 515 N Jefferson Ave{{NEWENTRY}}Comprehensive Behavioral Health Center of St. Clair County; 505 S 8th St{{NEWENTRY}}Windsor Health Center; 100 N 8th St #238,None
32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),3PB5A5BD0V6K80NXA7ZHVNUG6F57GO,Submitted,127,None,None
32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),3LWJHTCVCCMO0IWHVM25DTBZAQUQF3,Submitted,693,None,None
32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),34S6N1K2ZVJXNH7AY7I9ZSOIGZOHL7,Submitted,80,None,None
32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),3JPSL1DZ5SZ81U2H4EOWVY538ZZANS,Submitted,38,None,None
32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),3OONKJ5DKCJV2P7LB7O55YPEGRPBO3,Submitted,20,None,None
32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),3BV8HQ2ZZW10U9WP5X2FTNJHD9A6AE,Submitted,62,None,None
32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),3E7TUJ2EGCMLAZ1ZNEWT3YIPODFD9Y,Submitted,145,"315 Chestnut St, St. Louis, MO 63102 at the same adress hotel also.",good
32TMVRKDGNY69E12Z9KKBEYNDQ884Z,( Hyatt Regency St. Louis at The Arch),( None),( list_secondary),3FFJ6VRIL1OKMGT8FWEB1KX9DETI0T,Submitted,1040,None,None
3YZ7A3YHR5T6OHKBRC9ZXX42PGA5S1,( Residence Inn St Louis),( None),( list_secondary),3GNCZX450IN84FEUKT1OZNAY8DQAPC,Submitted,14,None,None
3YZ7A3YHR5T6OHKBRC9ZXX42PGA5S1,( Residence Inn St Louis),( None),( list_secondary),3U0SRXB7CD500BOY6PAIQOUD82CRN4,Submitted,227,Saint Louis University Hosp; 3635 Vista At Grand Blvd{{NEWENTRY}}SSM Cardinal Glennon Child Ct; 1465 South Grand Blvd{{NEWENTRY}}Veterans Affairs Med Center; 915 North Grand{{NEWENTRY}}Rehab Institute of St Louis; 4455 Duncan Ave{{NEWENTRY}}St Louis Children's Hospital; One Children's Pl{{NEWENTRY}}Barnes-Jewish Hospital; 1 Barnes-Jewish Hosp Plaza,None
3YZ7A3YHR5T6OHKBRC9ZXX42PGA5S1,( Residence Inn St Louis),( None),( list_secondary),3YDTZAI2WXGQLYFBQQG7LO60DNO41R,Submitted,355,None,GOOD
3YZ7A3YHR5T6OHKBRC9ZXX42PGA5S1,( Residence Inn St Louis),( None),( list_secondary),345LHZDEDXSLCZN5S0L8MLJRAKSU3Y,Submitted,395,"Hope Recovery Center VA Medical Center; 515 N Jefferson Ave{{NEWENTRY}}SSM Health Saint Louis University Hospital; 3635 Vista Ave{{NEWENTRY}}Children's Miracle Network; 1465 S Grand Blvd{{NEWENTRY}}St. Louis University Hospital: Cardiology, Heart Surgeons and Heart Doctors; 3635 Vista Avenue",There are more than one Residence Inn located in St.Louis. I chose Residence Inn by Marriott St. Louis Downtown.
